Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Willamette Valley Law Project,,16050574,300 Young St.,Woodburn,OR,97071,Marion,93-0687718,"To support the Farmworker Service Center's transition into an independent nonprofit and accredited immigration clinic that serves more than 1,000 Latinos each year in Marion and Polk counties",2017 ,"$150,000 ",three years,5037811132,SS090300 - Immigrant Services,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002270, 1002636, 1002794, 1003044","PG010000, PE050000",TA00 - Cash Grants,Grant,,Building Community,WVLP collaborate with and facilitates the development of community based organizations working in the Valley's Latino communities to improve working and living conditions.
Write Around Portland,,16050256,"133 SW 2nd Ave, Ste 304",Portland,OR,97204,Multnomah,84-1482706,"To support creative writing workshops that give 200 east Multnomah County youths and adults facing cultural, social and economic barriers the opportunity to document their own stories",2017 ,"$40,000 ",one year,5037969224,SA080500 - Literature And Writing,,,UN0000 - Program Development,Project Support,,,,,"1002994, 1002270, 1002699",PG030200,TA00 - Cash Grants,Grant,,Building Community,Write Around Portland changes lives through the power of writing.
All Hands Raised,,16100850,2069 NE Hoyt Street,Portland,OR,97232,Multnomah,93-1149789,To develop strategies to address implicit racial bias against students most highly affected by school discipline and design school-based solutions to reduce the use of disciplinary action against those students,2017 ,"$90,000 ",one year,5032345404,SB026000 - Public Education,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,1002699,"PA010000, PE000000",TA00 - Cash Grants,Grant,,Equitable Education,"All Hands Raised mission is to champion education, equity, and excellence inside and outside of the classroom.  We mobilize leadership, ideas, community action and resources to ensure that all kids in all neighborhoods throughout Portland and Multnomah County achieve their full potential."
AVID Center,,17021207,9797 Aero Dr,San Diego,CA,92123,,33-0522594,To support regional professional development for teachers outside of the Portland Metropolitan area,2017 ,"$75,000 ",one year,8583804800,SB060500 - Teacher Education,SB030000 - Elementary And Secondary Education,,UN0000 - Program Development,Project Support,,,,,7007708,PG030200,TA00 - Cash Grants,Grant,,Equitable Education,AVID’s mission is to close the achievement gap by preparing all students for college readiness and success in a global society.
Campbell Institute,Children's Institute,17021205,"1411 SW Morrison Street, Suite 205",Portland,OR,97205,Multnomah,93-1095351,For core operating support,2017 ,"$80,000 ",one year,5032199034,SB030100 - Early Childhood Education,SB025000 - Education Public Policy And Reform,,UA0000 - General Support,Operating Support,,,,,7007708,PA010000,TA00 - Cash Grants,Grant,,Equitable Education,The Institute's mission is to promote wise investments and effective action in early childhood to prepare children for success in school and life.
Center for NonProfit Legal Services,,16100849,PO Box 1586,Medford,OR,97501,Jackson,23-7227761,"To provide education and direct legal assistance to DACA petitioners and provide other immigration-related services to low income, culturally diverse school-aged youth in Jackson County",2017 ,"$20,000 ",one year,5417797292101,SS090300 - Immigrant Services,SJ040000 - Legal Services,,UN0000 - Program Development,Project Support,,,,,2001711,"PA010000, PA020100, PG010000",TA00 - Cash Grants,Grant,,Equitable Education,"To secure justice for and protect the rights of needy persons residing in Jackson County so that such persons shall not by reason of being in financial need be denied equal protection under the law."""
Josephine County Foundation,,16100851,P. O. Box 673,Murphy,OR,97533,Josephine,46-5474176,"To support a student-led effort designed to inspire, engage and strengthen the community through innovative leadership and service",2017 ,"$51,920 ",two years,8585251629,SB090500 - Student Retention/Dropout Prevention,SK020000 - Leadership Development,,UN0000 - Program Development,Project Support,,,,,2001713,"PA010000, PG050000",TA00 - Cash Grants,Grant,,Equitable Education,"Mission Statement
 A student-led non-profit that inspires, engages, and strengthens the community through innovative leadership and service.
 
Vision
 To transform Josephine County into a vibrant community in which every individual has the opportunity to be healthy, educated, and prosperous.
 
Purpose
 High school students of the Josephine County Foundation (JCF) use their energy and creativity to improve the social and economic wellbeing of Josephine County. Working with local leaders, students identify community needs and perform service projects to address those needs. JCF students learn valuable leadership and teamwork skills by managing their service projects, operating a non-profit business, and raising funds for their projects. Through JCF, students are becoming an experienced generation of philanthropists with a lifelong commitment to the community."
Let's Talk Diversity Coalition,,17021242,574 SW 4th St,Madras,OR,97741,Jefferson,81-3530015,"To support the Papalaxsimisha Program, supporting American Indian students and their families in 6th through 12th grade on their educational journey",2017 ,"$70,000 ",two years,,SB031100 - Multicultural Education,,,UN0000 - Program Development,Project Support,,,,,2001712,"PE060300, PA010400",TA00 - Cash Grants,Grant,,Equitable Education,
Malheur Education Service District Region 14,,16121030,363 A Street West,Vale,OR,97918-1305,Malheur,93-6000711,To provide LEAP training to teachers to serve children disabilities and other complex needs in an inclusive school setting,2017 ,"$50,000 ",two years,5414733138,SB030800 - Special Needs Education,SB090000 - Education Services,,UN0000 - Program Development,Project Support,,,,,2001718,PA010000,TA00 - Cash Grants,Grant,,Equitable Education,"The mission of Malheur Education Service District is to assist our school districts and communities in achieving Oregon's educational goals by producing equitable, high quality, cost-effective and locally responsive educational services on a regional level for all children P-20."
North Wasco County School District 21 Education Foundation,,17011056,3632 West 10th St.,The Dalles,OR,97058,Wasco,94-3205304,"To host four special events designed to inspire young people to read and write more and to communicate in more creative, risk-taking ways",2017 ,"$15,000 ",one year,,SB030000 - Elementary And Secondary Education,,,UN0000 - Program Development,Project Support,,,,,1002990,PA010000,TA00 - Cash Grants,Grant,,Equitable Education,"To foster community, staff and corporate support for the academic, artistic, athletic and cultural enrichment of the students of North Wasco County School District 21."
Northwest Health Foundation Fund II,,17011049,221 NW Second Avenue,Portland,OR,97209,Multnomah,93-1293344,"For the Health and Education Fund, aimed at exploring partnerships at the intersection of health and education",2017 ,"$600,000 ",three years,5032201955,SE000000 - Health,SB030100 - Early Childhood Education,,UN0000 - Program Development,Project Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Equitable Education,"The mission of the Northwest Health Foundation is to advance, support and promote the health of the people of Oregon and southwest Washington.

Our foundation has been working since 1997, investing in programs and projects designed to improve the health of the people in our region.

NWHF is a conversion foundation: independent and charitable, funded with assets resulting from the sale of Oregon's nonprofit PACC Health Plans.

Many of the organizations we support address the root causes of health through community-driven, ""upstream"" solutions. At the same time, NWHF is also actively engaged in advocating for sound policies that protect health."
Northwest Regional Education Service District,,17021217,5825 NE Ray Circle,Hillsboro,OR,97124,Washington,93-6000311,"To develop a Professional Learning Community comprised of 9 Oregon Tribes, Title VII Indian Education Directors, and other Native education leaders",2017 ,"$132,850 ",one year,5036141428,SB060500 - Teacher Education,SB090000 - Education Services,,UN0000 - Program Development,Project Support,,,,,7007708,"PA010000, PE060300",TA00 - Cash Grants,Grant,,Equitable Education,"1.  Provide quality, cost-effective programs and services that address the needs and priorities of our component school districts.
2.  Provide quality, cost-effective programs and services that address the educational needs for all children with disabilities, birth to kindergarten, in our region.
3.  Work in partnership with the Oregon Department of Education and other K-12 education agencies in implementing 21st Century School standards and other programs and services that support our component school districts.
4.  Provide leadership in creating partnerships with public and private agencies, higher education, business and other community organizations in support of our component school district students and their families.

Administered by the NWRESD, the Indian Education Program assesses and addresses the culturally related needs of American Indian and Alaskan Native students for their academic success.  This program employs two regular, full-time workers.

Below is a list of the Board of Directors for NWRESD.  The Indian Education Program is in the process of filling the positions on the five Parent/Guardian Committees serving the four-county area."
